Nacional;Comunidades y Ciudades Autónomas;Covid-19;Sexo;Semana de defunción;Total
Total Nacional;;Total;Total;Total;464.417
Total Nacional;;Total;Total;2021SM01;2.801
Total Nacional;;Total;Total;2021SM02;9.953
Total Nacional;;Total;Total;2021SM03;10.670
Total Nacional;;Total;Total;2021SM04;10.855
Total Nacional;;Total;Total;2021SM05;11.205
Total Nacional;;Total;Total;2021SM06;10.886
Total Nacional;;Total;Total;2021SM07;10.103
Total Nacional;;Total;Total;2021SM08;9.316
Total Nacional;;Total;Total;2021SM09;8.931
Total Nacional;;Total;Total;2021SM10;8.694
Total Nacional;;Total;Total;2021SM11;8.537
Total Nacional;;Total;Total;2021SM12;8.574
Total Nacional;;Total;Total;2021SM13;8.523
Total Nacional;;Total;Total;2021SM14;8.525
Total Nacional;;Total;Total;2021SM15;8.714
Total Nacional;;Total;Total;2021SM16;8.707
Total Nacional;;Total;Total;2021SM17;8.410
Total Nacional;;Total;Total;2021SM18;8.511
Total Nacional;;Total;Total;2021SM19;8.524
Total Nacional;;Total;Total;2021SM20;8.832
Total Nacional;;Total;Total;2021SM21;8.930
Total Nacional;;Total;Total;2021SM22;8.238
Total Nacional;;Total;Total;2021SM23;8.167
Total Nacional;;Total;Total;2021SM24;8.193
Total Nacional;;Total;Total;2021SM25;9.373
Total Nacional;;Total;Total;2021SM26;8.573
Total Nacional;;Total;Total;2021SM27;8.606
Total Nacional;;Total;Total;2021SM28;9.115
Total Nacional;;Total;Total;2021SM29;10.900
Total Nacional;;Total;Total;2021SM30;11.014
Total Nacional;;Total;Total;2021SM31;9.968
Total Nacional;;Total;Total;2021SM32;9.478
Total Nacional;;Total;Total;2021SM33;9.304
Total Nacional;;Total;Total;2021SM34;8.129
Total Nacional;;Total;Total;2021SM35;8.197
Total Nacional;;Total;Total;2021SM36;7.687
Total Nacional;;Total;Total;2021SM37;7.677
Total Nacional;;Total;Total;2021SM38;7.634
Total Nacional;;Total;Total;2021SM39;7.411
Total Nacional;;Total;Total;2021SM40;7.552
Total Nacional;;Total;Total;2021SM41;7.993
Total Nacional;;Total;Total;2021SM42;7.808
Total Nacional;;Total;Total;2021SM43;8.164
Total Nacional;;Total;Total;2021SM44;7.960
Total Nacional;;Total;Total;2021SM45;7.681
Total Nacional;;Total;Total;2021SM46;8.238
Total Nacional;;Total;Total;2021SM47;8.441
Total Nacional;;Total;Total;2021SM48;8.535
Total Nacional;;Total;Total;2021SM49;9.026
Total Nacional;;Total;Total;2021SM50;9.491
Total Nacional;;Total;Total;2021SM51;9.511
Total Nacional;;Total;Total;2021SM52;9.768
Total Nacional;;Total;Total;2021SM53;8.384
Total Nacional;;Total;Hombres;Total;234.362
Total Nacional;;Total;Hombres;2021SM01;1.419
Total Nacional;;Total;Hombres;2021SM02;5.068
Total Nacional;;Total;Hombres;2021SM03;5.351
Total Nacional;;Total;Hombres;2021SM04;5.587
Total Nacional;;Total;Hombres;2021SM05;5.897
Total Nacional;;Total;Hombres;2021SM06;5.613
Total Nacional;;Total;Hombres;2021SM07;5.130
Total Nacional;;Total;Hombres;2021SM08;4.774
Total Nacional;;Total;Hombres;2021SM09;4.517
Total Nacional;;Total;Hombres;2021SM10;4.353
Total Nacional;;Total;Hombres;2021SM11;4.356
Total Nacional;;Total;Hombres;2021SM12;4.342
Total Nacional;;Total;Hombres;2021SM13;4.330
Total Nacional;;Total;Hombres;2021SM14;4.410
Total Nacional;;Total;Hombres;2021SM15;4.381
Total Nacional;;Total;Hombres;2021SM16;4.462
Total Nacional;;Total;Hombres;2021SM17;4.256
Total Nacional;;Total;Hombres;2021SM18;4.327
Total Nacional;;Total;Hombres;2021SM19;4.321
Total Nacional;;Total;Hombres;2021SM20;4.435
Total Nacional;;Total;Hombres;2021SM21;4.410
Total Nacional;;Total;Hombres;2021SM22;4.095
Total Nacional;;Total;Hombres;2021SM23;4.164
Total Nacional;;Total;Hombres;2021SM24;4.105
Total Nacional;;Total;Hombres;2021SM25;4.669
Total Nacional;;Total;Hombres;2021SM26;4.385
Total Nacional;;Total;Hombres;2021SM27;4.349
Total Nacional;;Total;Hombres;2021SM28;4.649
Total Nacional;;Total;Hombres;2021SM29;5.396
Total Nacional;;Total;Hombres;2021SM30;5.218
Total Nacional;;Total;Hombres;2021SM31;4.817
Total Nacional;;Total;Hombres;2021SM32;4.631
Total Nacional;;Total;Hombres;2021SM33;4.635
Total Nacional;;Total;Hombres;2021SM34;4.116
Total Nacional;;Total;Hombres;2021SM35;4.064
Total Nacional;;Total;Hombres;2021SM36;3.829
Total Nacional;;Total;Hombres;2021SM37;3.991
Total Nacional;;Total;Hombres;2021SM38;3.844
Total Nacional;;Total;Hombres;2021SM39;3.765
Total Nacional;;Total;Hombres;2021SM40;3.908
Total Nacional;;Total;Hombres;2021SM41;4.074
Total Nacional;;Total;Hombres;2021SM42;3.872
Total Nacional;;Total;Hombres;2021SM43;4.096
Total Nacional;;Total;Hombres;2021SM44;4.105
Total Nacional;;Total;Hombres;2021SM45;3.912
Total Nacional;;Total;Hombres;2021SM46;4.186
Total Nacional;;Total;Hombres;2021SM47;4.296
Total Nacional;;Total;Hombres;2021SM48;4.239
Total Nacional;;Total;Hombres;2021SM49;4.655
Total Nacional;;Total;Hombres;2021SM50;4.814
Total Nacional;;Total;Hombres;2021SM51;4.695
Total Nacional;;Total;Hombres;2021SM52;4.769
Total Nacional;;Total;Hombres;2021SM53;4.280
Total Nacional;;Total;Mujeres;Total;230.055
Total Nacional;;Total;Mujeres;2021SM01;1.382
Total Nacional;;Total;Mujeres;2021SM02;4.885
Total Nacional;;Total;Mujeres;2021SM03;5.319
Total Nacional;;Total;Mujeres;2021SM04;5.268
Total Nacional;;Total;Mujeres;2021SM05;5.308
Total Nacional;;Total;Mujeres;2021SM06;5.273
Total Nacional;;Total;Mujeres;2021SM07;4.973
Total Nacional;;Total;Mujeres;2021SM08;4.542
Total Nacional;;Total;Mujeres;2021SM09;4.414
Total Nacional;;Total;Mujeres;2021SM10;4.341
Total Nacional;;Total;Mujeres;2021SM11;4.181
Total Nacional;;Total;Mujeres;2021SM12;4.232
Total Nacional;;Total;Mujeres;2021SM13;4.193
Total Nacional;;Total;Mujeres;2021SM14;4.115
Total Nacional;;Total;Mujeres;2021SM15;4.333
Total Nacional;;Total;Mujeres;2021SM16;4.245
Total Nacional;;Total;Mujeres;2021SM17;4.154
Total Nacional;;Total;Mujeres;2021SM18;4.184
Total Nacional;;Total;Mujeres;2021SM19;4.203
Total Nacional;;Total;Mujeres;2021SM20;4.397
Total Nacional;;Total;Mujeres;2021SM21;4.520
Total Nacional;;Total;Mujeres;2021SM22;4.143
Total Nacional;;Total;Mujeres;2021SM23;4.003
Total Nacional;;Total;Mujeres;2021SM24;4.088
Total Nacional;;Total;Mujeres;2021SM25;4.704
Total Nacional;;Total;Mujeres;2021SM26;4.188
Total Nacional;;Total;Mujeres;2021SM27;4.257
Total Nacional;;Total;Mujeres;2021SM28;4.466
Total Nacional;;Total;Mujeres;2021SM29;5.504
Total Nacional;;Total;Mujeres;2021SM30;5.796
Total Nacional;;Total;Mujeres;2021SM31;5.151
Total Nacional;;Total;Mujeres;2021SM32;4.847
Total Nacional;;Total;Mujeres;2021SM33;4.669
Total Nacional;;Total;Mujeres;2021SM34;4.013
Total Nacional;;Total;Mujeres;2021SM35;4.133
Total Nacional;;Total;Mujeres;2021SM36;3.858
Total Nacional;;Total;Mujeres;2021SM37;3.686
Total Nacional;;Total;Mujeres;2021SM38;3.790
Total Nacional;;Total;Mujeres;2021SM39;3.646
Total Nacional;;Total;Mujeres;2021SM40;3.644
Total Nacional;;Total;Mujeres;2021SM41;3.919
Total Nacional;;Total;Mujeres;2021SM42;3.936
Total Nacional;;Total;Mujeres;2021SM43;4.068
Total Nacional;;Total;Mujeres;2021SM44;3.855
Total Nacional;;Total;Mujeres;2021SM45;3.769
Total Nacional;;Total;Mujeres;2021SM46;4.052
Total Nacional;;Total;Mujeres;2021SM47;4.145
Total Nacional;;Total;Mujeres;2021SM48;4.296
Total Nacional;;Total;Mujeres;2021SM49;4.371
Total Nacional;;Total;Mujeres;2021SM50;4.677
Total Nacional;;Total;Mujeres;2021SM51;4.816
Total Nacional;;Total;Mujeres;2021SM52;4.999
Total Nacional;;Total;Mujeres;2021SM53;4.104
Total Nacional;;Covid-19 Virus identificado;Total;Total;31.606
Total Nacional;;Covid-19 Virus identificado;Total;2021SM01;264
Total Nacional;;Covid-19 Virus identificado;Total;2021SM02;1.230
Total Nacional;;Covid-19 Virus identificado;Total;2021SM03;1.569
Total Nacional;;Covid-19 Virus identificado;Total;2021SM04;1.869
Total Nacional;;Covid-19 Virus identificado;Total;2021SM05;2.061
Total Nacional;;Covid-19 Virus identificado;Total;2021SM06;1.861
Total Nacional;;Covid-19 Virus identificado;Total;2021SM07;1.499
Total Nacional;;Covid-19 Virus identificado;Total;2021SM08;1.006
Total Nacional;;Covid-19 Virus identificado;Total;2021SM09;738
Total Nacional;;Covid-19 Virus identificado;Total;2021SM10;515
Total Nacional;;Covid-19 Virus identificado;Total;2021SM11;445
Total Nacional;;Covid-19 Virus identificado;Total;2021SM12;389
Total Nacional;;Covid-19 Virus identificado;Total;2021SM13;327
Total Nacional;;Covid-19 Virus identificado;Total;2021SM14;344
Total Nacional;;Covid-19 Virus identificado;Total;2021SM15;396
Total Nacional;;Covid-19 Virus identificado;Total;2021SM16;415
Total Nacional;;Covid-19 Virus identificado;Total;2021SM17;495
Total Nacional;;Covid-19 Virus identificado;Total;2021SM18;555
Total Nacional;;Covid-19 Virus identificado;Total;2021SM19;611
Total Nacional;;Covid-19 Virus identificado;Total;2021SM20;657
Total Nacional;;Covid-19 Virus identificado;Total;2021SM21;632
Total Nacional;;Covid-19 Virus identificado;Total;2021SM22;542
Total Nacional;;Covid-19 Virus identificado;Total;2021SM23;490
Total Nacional;;Covid-19 Virus identificado;Total;2021SM24;497
Total Nacional;;Covid-19 Virus identificado;Total;2021SM25;581
Total Nacional;;Covid-19 Virus identificado;Total;2021SM26;604
Total Nacional;;Covid-19 Virus identificado;Total;2021SM27;805
Total Nacional;;Covid-19 Virus identificado;Total;2021SM28;1.016
Total Nacional;;Covid-19 Virus identificado;Total;2021SM29;1.429
Total Nacional;;Covid-19 Virus identificado;Total;2021SM30;1.224
Total Nacional;;Covid-19 Virus identificado;Total;2021SM31;941
Total Nacional;;Covid-19 Virus identificado;Total;2021SM32;676
Total Nacional;;Covid-19 Virus identificado;Total;2021SM33;517
Total Nacional;;Covid-19 Virus identificado;Total;2021SM34;366
Total Nacional;;Covid-19 Virus identificado;Total;2021SM35;303
Total Nacional;;Covid-19 Virus identificado;Total;2021SM36;241
Total Nacional;;Covid-19 Virus identificado;Total;2021SM37;191
Total Nacional;;Covid-19 Virus identificado;Total;2021SM38;169
Total Nacional;;Covid-19 Virus identificado;Total;2021SM39;129
Total Nacional;;Covid-19 Virus identificado;Total;2021SM40;137
Total Nacional;;Covid-19 Virus identificado;Total;2021SM41;184
Total Nacional;;Covid-19 Virus identificado;Total;2021SM42;186
Total Nacional;;Covid-19 Virus identificado;Total;2021SM43;215
Total Nacional;;Covid-19 Virus identificado;Total;2021SM44;212
Total Nacional;;Covid-19 Virus identificado;Total;2021SM45;194
Total Nacional;;Covid-19 Virus identificado;Total;2021SM46;187
Total Nacional;;Covid-19 Virus identificado;Total;2021SM47;224
Total Nacional;;Covid-19 Virus identificado;Total;2021SM48;220
Total Nacional;;Covid-19 Virus identificado;Total;2021SM49;224
Total Nacional;;Covid-19 Virus identificado;Total;2021SM50;256
Total Nacional;;Covid-19 Virus identificado;Total;2021SM51;281
Total Nacional;;Covid-19 Virus identificado;Total;2021SM52;260
Total Nacional;;Covid-19 Virus identificado;Total;2021SM53;227
Total Nacional;;Covid-19 Virus identificado;Hombres;Total;16.708
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM01;156
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM02;692
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM03;850
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM04;1.033
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM05;1.164
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM06;997
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM07;809
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM08;548
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM09;388
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM10;266
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM11;228
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM12;211
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM13;180
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM14;190
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM15;202
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM16;211
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM17;250
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM18;286
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM19;314
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM20;329
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM21;329
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM22;293
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM23;281
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM24;252
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM25;280
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM26;322
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM27;419
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM28;547
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM29;688
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM30;585
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM31;461
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM32;333
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM33;253
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM34;211
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM35;140
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM36;131
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM37;100
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM38;84
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM39;83
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM40;77
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM41;86
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM42;95
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM43;115
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM44;110
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM45;113
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM46;106
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM47;126
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM48;106
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM49;126
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM50;131
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM51;145
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM52;150
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM53;126
Total Nacional;;Covid-19 Virus identificado;Mujeres;Total;14.898
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM01;108
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM02;538
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM03;719
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM04;836
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM05;897
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM06;864
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM07;690
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM08;458
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM09;350
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM10;249
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM11;217
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM12;178
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM13;147
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM14;154
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM15;194
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM16;204
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM17;245
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM18;269
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM19;297
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM20;328
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM21;303
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM22;249
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM23;209
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM24;245
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM25;301
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM26;282
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM27;386
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM28;469
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM29;741
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM30;639
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM31;480
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM32;343
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM33;264
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM34;155
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM35;163
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM36;110
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM37;91
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM38;85
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM39;46
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM40;60
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM41;98
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM42;91
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM43;100
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM44;102
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM45;81
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM46;81
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM47;98
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM48;114
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM49;98
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM50;125
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM51;136
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM52;110
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM53;101
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;Total;66
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM01;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM02;9
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM03;4
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM04;4
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM05;11
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM06;9
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM07;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM08;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM09;3
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM10;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM11;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM12;0
